"Soort misdrijf";"Perioden";"Regio's";"Geregisteerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Utrecht (PV)";8447
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Utrecht (PV)";9821
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Utrecht (PV)";8856
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Utrecht (PV)";7892
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Utrecht (PV)";7299
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Noord-Holland (PV)";24150
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Noord-Holland (PV)";24915
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Noord-Holland (PV)";24801
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Noord-Holland (PV)";21584
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Noord-Holland (PV)";18369
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Noord-Holland (PV)";19049
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Zuid-Holland (PV)";23007
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Zuid-Holland (PV)";26216
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Zuid-Holland (PV)";26422
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Zuid-Holland (PV)";27755
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Zuid-Holland (PV)";24479
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Zuid-Holland (PV)";19261
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Zeeland (PV)";1903
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Zeeland (PV)";1734
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Zeeland (PV)";1633
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Zeeland (PV)";1471
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Zeeland (PV)";984
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Zeeland (PV)";819
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Noord-Brabant (PV)";19237
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Noord-Brabant (PV)";21050
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Noord-Brabant (PV)";19177
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Noord-Brabant (PV)";15061
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Noord-Brabant (PV)";12151
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Noord-Brabant (PV)";10915
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Limburg (PV)";9266
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Limburg (PV)";9521
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Limburg (PV)";8723
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Limburg (PV)";6766
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Limburg (PV)";5832
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Limburg (PV)";5018
"1.2.4 Zakkenrollerij";"2013";"Nederland";41979
"1.2.4 Zakkenrollerij";"2014";"Nederland";33291
"1.2.4 Zakkenrollerij";"2015";"Nederland";29286
"1.2.4 Zakkenrollerij";"2016";"Nederland";25398
"1.2.4 Zakkenrollerij";"2017";"Nederland";20885
"1.2.4 Zakkenrollerij";"2018";"Nederland";15118
"1.2.4 Zakkenrollerij";"2013";"Groningen (PV)";807
"1.2.4 Zakkenrollerij";"2014";"Groningen (PV)";546
"1.2.4 Zakkenrollerij";"2015";"Groningen (PV)";546
"1.2.4 Zakkenrollerij";"2016";"Groningen (PV)";655
"1.2.4 Zakkenrollerij";"2017";"Groningen (PV)";381
"1.2.4 Zakkenrollerij";"2018";"Groningen (PV)";271
"1.2.4 Zakkenrollerij";"2013";"Friesland (PV)";338
"1.2.4 Zakkenrollerij";"2014";"Friesland (PV)";272
"1.2.4 Zakkenrollerij";"2015";"Friesland (PV)";243
"1.2.4 Zakkenrollerij";"2016";"Friesland (PV)";206
"1.2.4 Zakkenrollerij";"2017";"Friesland (PV)";166
"1.2.4 Zakkenrollerij";"2018";"Friesland (PV)";123
"1.2.4 Zakkenrollerij";"2013";"Drenthe (PV)";288
"1.2.4 Zakkenrollerij";"2014";"Drenthe (PV)";212
"1.2.4 Zakkenrollerij";"2015";"Drenthe (PV)";179
"1.2.4 Zakkenrollerij";"2016";"Drenthe (PV)";140
"1.2.4 Zakkenrollerij";"2017";"Drenthe (PV)";118
"1.2.4 Zakkenrollerij";"2018";"Drenthe (PV)";83
"1.2.4 Zakkenrollerij";"2013";"Overijssel (PV)";1175
"1.2.4 Zakkenrollerij";"2014";"Overijssel (PV)";870
"1.2.4 Zakkenrollerij";"2015";"Overijssel (PV)";725
"1.2.4 Zakkenrollerij";"2016";"Overijssel (PV)";538
"1.2.4 Zakkenrollerij";"2017";"Overijssel (PV)";433
"1.2.4 Zakkenrollerij";"2018";"Overijssel (PV)";344
"1.2.4 Zakkenrollerij";"2013";"Flevoland (PV)";837
"1.2.4 Zakkenrollerij";"2014";"Flevoland (PV)";515
"1.2.4 Zakkenrollerij";"2015";"Flevoland (PV)";400
"1.2.4 Zakkenrollerij";"2016";"Flevoland (PV)";346
"1.2.4 Zakkenrollerij";"2017";"Flevoland (PV)";294
"1.2.4 Zakkenrollerij";"2018";"Flevoland (PV)";216
"1.2.4 Zakkenrollerij";"2013";"Gelderland (PV)";3062
"1.2.4 Zakkenrollerij";"2014";"Gelderland (PV)";2184
"1.2.4 Zakkenrollerij";"2015";"Gelderland (PV)";1808
"1.2.4 Zakkenrollerij";"2016";"Gelderland (PV)";1624
"1.2.4 Zakkenrollerij";"2017";"Gelderland (PV)";1402
"1.2.4 Zakkenrollerij";"2018";"Gelderland (PV)";942
"1.2.4 Zakkenrollerij";"2013";"Utrecht (PV)";2729
"1.2.4 Zakkenrollerij";"2014";"Utrecht (PV)";1970
"1.2.4 Zakkenrollerij";"2015";"Utrecht (PV)";1627
"1.2.4 Zakkenrollerij";"2016";"Utrecht (PV)";1327
"1.2.4 Zakkenrollerij";"2017";"Utrecht (PV)";1157
"1.2.4 Zakkenrollerij";"2018";"Utrecht (PV)";763
"1.2.4 Zakkenrollerij";"2013";"Noord-Holland (PV)";15355
"1.2.4 Zakkenrollerij";"2014";"Noord-Holland (PV)";12406
"1.2.4 Zakkenrollerij";"2015";"Noord-Holland (PV)";11826
"1.2.4 Zakkenrollerij";"2016";"Noord-Holland (PV)";10032
"1.2.4 Zakkenrollerij";"2017";"Noord-Holland (PV)";7953
"1.2.4 Zakkenrollerij";"2018";"Noord-Holland (PV)";6324
"1.2.4 Zakkenrollerij";"2013";"Zuid-Holland (PV)";8136
"1.2.4 Zakkenrollerij";"2014";"Zuid-Holland (PV)";7011
"1.2.4 Zakkenrollerij";"2015";"Zuid-Holland (PV)";5572
"1.2.4 Zakkenrollerij";"2016";"Zuid-Holland (PV)";4855
"1.2.4 Zakkenrollerij";"2017";"Zuid-Holland (PV)";4078
"1.2.4 Zakkenrollerij";"2018";"Zuid-Holland (PV)";2674
"1.2.4 Zakkenrollerij";"2013";"Zeeland (PV)";319
"1.2.4 Zakkenrollerij";"2014";"Zeeland (PV)";272
